id,mental_time,pointing_time,typing_time,date
0,,0.08224999,,21/02/2021 20:49:11
0,,0.1479005,,21/02/2021 20:49:12
0,,0.2204391,,21/02/2021 20:49:12
0,,0.04365614,,21/02/2021 20:49:14
0,,0.03244795,,21/02/2021 20:49:15
0,,0.6906776,,21/02/2021 20:49:21
0,,0.4996315,,21/02/2021 20:49:22
0,0.2158714,,,21/02/2021 20:49:22
0,,0.613019,,21/02/2021 20:49:23
0,,0.4780836,,21/02/2021 20:49:24
0,,0.3260462,,21/02/2021 20:49:24
0,1.252416,,,21/02/2021 20:49:33
0,,0.1540956,,21/02/2021 20:49:34
0,1.592017,,,21/02/2021 20:50:37
0,1.556071,,,21/02/2021 20:51:04
0,1.147909,,,21/02/2021 20:51:10
0,1.069011,,,21/02/2021 20:51:36
0,,0.339432,,21/02/2021 20:51:36
0,1.34777,,,21/02/2021 20:53:18
0,,0.1601984,,21/02/2021 20:53:18
0,0.2729589,,,21/02/2021 20:53:19
0,,0.2442572,,21/02/2021 20:53:19
